Timestamp,class_year,childhood_people,current_people
4/14/2024 15:39:07,First year,both - family and friend,both - two friends and mother
4/15/2024 10:38:00,First year,family -  (#),both - two friends and mother
4/15/2024 11:40:00,Sophmore,both - family and friend,both - family and friend
4/15/2024 13:15:11,First year,friends - no family mentioned,friends - 3 friends
4/15/2024 14:23:58,First year,family - ,both -
4/15/2024 14:27:48,First year,"both - 1 parent, 2 friends",friends - 3 friends
4/15/2024 17:31:34,First year,"both - 2 parents, friend","both - 2 parents, friend"
4/15/2024 18:14:12,First year,"family - 2 parents, grandparents",both - 
4/16/2024 10:09:04,First year,"both - 2 parents, friend group ","both - parents, boyfriend, friend group"
4/16/2024 11:46:01,First year,"family - 2 parents, sibling","both - 2 family, friend"
4/16/2024 18:05:21,First year,"both - friend, mom","both - 2 friends, sibling"
4/17/2024 15:04:00,Sophmore,"both - 2 parents, friend ","both - 2 parents, friend "
4/17/2024 16:08:33,First year,"family - 2 parents, sibling","family - 2 parents, sibling"
4/17/2024 22:40:33,Sophmore,"family - 2 parents, sibling",friends - 3 friends
4/18/2024 10:24:20,First year,"both - 2 parents, friend","both - 1 parent, 2 friends"
4/18/2024 13:47:46,First year,"both - 1 parent, 2 friend","both - 1 parent, 2 friends"
4/18/2024 20:17:54,First year,"family - 1 sibling, 1 parent","both - sibling, friend, cousin"
4/19/2024 10:50:48,Sophmore,"both - 2 family, 1 friend",friends - 3 friends
4/19/2024 12:02:59,Sophmore,both - family (#) and friend,"both - 2 friends, sibling"
4/19/2024 15:42:21,Sophmore,"both - 1 parent, 2 friends","both - 1 parent, 2 friends"
4/22/2024 9:42:41,Junior,"both - 1 sibling, 2 friends ","both - 1 parent, 2 friends "
4/24/2024 16:05:35,First year,family - 2 parents ,
4/24/2024 17:57:26,Junior,"family - 2 parents, grandparents","both - 1 parent, 2 friends"
4/25/2024 15:53:00,Senior,both - NA (not sure about wording) ,"both - parents, fiance, friend"
4/25/2024 18:24:56,First year,"family - 2 parents, grandparents","both - 1 parent, 3 friends"
4/26/2024 13:26:30,Senior,"both - family members, 1 friend",friends - 3+ friends
4/26/2024 14:47:21,First year,friends - 3 friends,friends - 3 friends 